Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
product_change_price.fields_sick,,Из-за <hint=hint_prophecy_fields_sick_one>заражении культуры</hint> цена выше на <red>{price_factor}%</red>,"Due to <hint=hint_prophecy_fields_sick_one>crop infection</hint>, the price is higher by <red>{price_factor}%</red>.","Due to <hint=hint_prophecy_fields_sick_one>crop infection</hint>, the price is higher by <red>{price_factor}%</red>.",Kvůli <hint=hint_prophecy_fields_sick_one>nakaženým plodinám</hint> je cena vyšší o <red>{price_factor} %</red>.,"Após a <hint=hint_prophecy_fields_sick_one>Infecção nas Plantações</hint>, houve um aumento de preço em <red>{price_factor}%</red>.","Debido a la <hint=hint_prophecy_fields_sick_one>infección de las cosechas</hint>, el precio es un <red>{price_factor} %</red> más alto.",Z powodu <hint=hint_prophecy_fields_sick_one>choroby plonów</hint> cena wzrosła o <red>{price_factor}%</red>.,由于<hint=hint_prophecy_fields_sick_one>作物感染</hint>，价格上涨了<red>{price_factor}%</red>。,<hint=hint_prophecy_fields_sick_one>農作物病蟲害</hint>使價格上漲了 <red>{price_factor}%</red>。,<hint=hint_prophecy_fields_sick_one>農作物感染</hint>により、価格が<red>{price_factor}%</red>高くなります。,<hint=hint_prophecy_fields_sick_one>농작물 감염</hint>으로 가격이 <red>{price_factor}%</red> 상승했습니다.,Aufgrund des <hint=hint_prophecy_fields_sick_one>Schädlingsbefalls</hint> ist der Preis um <red>{price_factor} %</red> gestiegen.,"En raison d'une <hint=hint_prophecy_fields_sick_one>maladie des cultures</hint>, le prix a augmenté de <red>{price_factor} %</red>.","A causa di una <hint=hint_prophecy_fields_sick_one>pestilenza delle colture</hint>, il prezzo è aumentato del <red>{price_factor}%</red>.",<hint=hint_prophecy_fields_sick_one>Ekin hastalığı</hint> nedeniyle fiyatlar <red>%{price_factor}</red> yükseldi.,A <hint=hint_prophecy_fields_sick_one>terményfertőzés</hint> miatt az ár <red>{price_factor}%-kal</red> magasabb.,"У зв'язку із <hint=hint_prophecy_fields_sick_one>зерновим мором</hint>, ціна вища на <red>{price_factor}%</red>.","Do <hint=hint_prophecy_fields_sick_one>nhiễm bệnh cây trồng</hint>, giá cao hơn <red>{price_factor}%</red>."
map.universal_help.danger_army,,<center>Армия агрессора:</center>,<center>The aggressor's army:</center>,<center>The aggressor's army:</center>,<center>Agresorovo vojsko:</center>,<center>Exército do agressor:</center>,<center>El ejército del atacante:</center>,<center>Armia agresora:</center>,<center>侵略者的军队：</center>,<center>侵略方的軍隊：</center>,<center>侵略者の軍隊：</center>,<center>공격자 군대:</center>,<center>Armee des Aggressors:</center>,<center>L'armée ennemie :</center>,<center>Esercito dell'aggressore:</center>,<center>Saldırgan tarafın ordusu:</center>,<center>Az agresszor serege:</center>,<center>Військо нападника:</center>,<center>Quân đội của kẻ xâm lược:</center>
map.appoint.estimated_time,,Приблизительное время на выполнение задания: {estimated_time},Estimated time to complete the task: {estimated_time},Estimated time to complete the task: {estimated_time},Odhadovaný čas k dokončení úkolu: {estimated_time},Tempo estimado para concluir a tarefa: {estimated_time},Tiempo estimado para completar la tarea: {estimated_time},Szacowany czas do ukończenia zadania: {estimated_time},预计完成任务时间：{estimated_time},事項完成預估時間：{estimated_time},任務の推定完了時間： {estimated_time},임무 완료 예상 시간: {estimated_time},Geschätzte Zeit bis zum Abschluss der Aufgabe: {estimated_time},Temps estimé pour terminer la tâche : {estimated_time},Tempo di completamento del compito stimato: {estimated_time},Görevi tamamlamak için tahmini süre: {estimated_time},A feladat végrehajtásának becsült ideje: {estimated_time},Приблизний час виконання завдання: {estimated_time},Thời gian ước tính để hoàn thành nhiệm vụ: {estimated_time}
map.appoint.estimated_time_army,,Дорога займет {estimated_time},The road will take {estimated_time},The road will take {estimated_time},Cesta zabere {estimated_time},A viagem levará {estimated_time},El camino tardará {estimated_time},Podróż będzie trwać {estimated_time},此道路所需时间：{estimated_time},這條道路需要 {estimated_time},この道路は{estimated_time}掛かる,도로 소요 시간: {estimated_time},Der Marsch dauert {estimated_time},Temps de trajet estimé : {estimated_time},Percorrere la strada richiederà {estimated_time},Yolun alacağı toplam süre: {estimated_time},Az út {estimated_time} ideig tart,Дорога забере {estimated_time},Thời gian cần thiết cho con đường này: {estimated_time}
map.appoint.tasks,,Действия,Actions,Actions,Akce,Ações,Acciones,Działania,行动,行動,アクション,행동,Aktionen,Actions,Azioni,Eylemler,Beavatkozások,Дії,Hành động
map.category.improve_relations,,Улучшение отношений,Improving Relationships,Improving Relationships,Vylepšování vztahů,Melhorar relação,Mejorar las relaciones,Poprawa stosunków,关系,關係,関係性,관계,Beziehungen,Relations,Rapporti,İlişkiler,Kapcsolatok javítása,Поліпшення взаємин,Cải thiện mối quan hệ
map.guest.remain_stay_time,,"<tight><center><b>Персонаж не в городе</b></center>

</tight>В настоящее время этот персонаж находится в гостях в городе {faction_uuid}.

Предположительно будет дома через {remain_time}","<tight><center><b>The character is out of town</b></center>.

</tight>This character is currently a guest in the city of {faction_uuid}.

They will presumably be home in {remain_time}.","<tight><center><b>The character is out of town</b></center>.

</tight>This character is currently a guest in the city of {faction_uuid}.

They will presumably be home in {remain_time}.","<tight><center><b>Postava je mimo město</b></center>.

</tight>Tato postava je momentálně hostem ve městě {faction_uuid}.

Domů se podle odhadů vrátí za {remain_time}","<tight><center><b>O personagem está fora da cidade.</b></center>

</tight>Este personagem está como convidado na cidade de {faction_uuid}.

Ele deve chegar em casa em {remain_time}.","<tight><center><b>El personaje está fuera de la ciudad</b></center>.

</tight>Este personaje es ahora mismo un invitado de la ciudad de {faction_uuid}.

Se prevé que vuelva a casa en {remain_time}.","<tight><center><b>Postać znajduje się poza miastem</b></center>.

</tight>Ta osoba jest obecnie gościem miasta {faction_uuid}.

Planuje powrót do domu za {remain_time}","<tight><center><b>角色出城了</b></center>。

</tight>此角色目前是{faction_uuid}旗下城市的宾客。

距离回家预计还剩：{remain_time}","<tight><center><b>此人物已離開城鎮</b></center>。

</tight>此人物目前為{faction_uuid}城鎮的賓客。

預計於 {remain_time} 後返家","<tight><center><b>キャラクターは街を出ている</b></center>。

</tight>このキャラクターは現在、{faction_uuid}の街のゲストである。

おそらく{remain_time}後に自分の街に戻るだろう","<tight><center><b>캐릭터가 도시에 없음</b></center>.

</tight>이 캐릭터는 현재 {faction_uuid} 도시에 손님으로 있습니다.

아마 {remain_time} 후에 집으로 돌아올 것입니다.","<tight><center><b>Die Person befindet sich nicht in der Stadt</b></center>.

</tight>Diese Person ist momentan Gast in der Stadt von {faction_uuid}.

Sie wird vermutlich in {remain_time} zurückkehren.","<tight><center><b>Le personnage n'est pas dans la cité</b></center>.

</tight>Ce personnage est actuellement en visite à {faction_uuid}.

Son retour est prévu dans {remain_time}.","<tight><center><b>Il personaggio è fuori città</b></center>.

</tight>Questo personaggio è attualmente ospite presso la città di {faction_uuid}.

Probabilmente tornerà a casa tra {remain_time}","<tight><center><b>Karakter kasaba dışında</b></center>.

</tight>Bu karakter şu anda {faction_uuid} şehrinin bir misafiri.

Tahmini eve dönüş süresi: {remain_time}","<tight><center><b>A karakter nincs a városban</b></center>.

</tight>Ez a karakter jelenleg vendégségben van {faction_uuid} tartományban.

Vélhetően {remain_time} múlva lesz otthon","<tight><center><b>Персонаж перебуває поза містом</b></center>.

</tight>Цей персонаж зараз гостює в місті {faction_uuid}.

Ймовірно, буде дома через {remain_time}","<tight><center><b>Nhân vật đang vắng mặt ở thành phố</b></center>

</tight>Nhân vật này hiện đang là khách tại thành phố {faction_uuid}.

Họ dự kiến sẽ trở về nhà trong {remain_time}.
"
map.your_province,,Ваша провинция,Your province,Your province,Tvoje provincie,Sua província,Tu provincia,Twoja prowincja,离开省邦：,離開領地：,王国を立ち去った：,떠난 영지:,Deine Provinz,A quitté la province.,Ha lasciato la provincia:,Vilayetin,A tartományod,Ваша провінція,Lãnh thổ của bạn
map.burn_town_waiting,,Подготовка к сожжению города,Preparing to burn the city,Preparing to burn the city,Připravují se na vypálení města,Preparando-se para queimar a cidade,Preparándose para arrasar la ciudad,Przygotowuje się do spalenia miasta,城中居民：/,/ 位城鎮居民,/人の住人が街にいます,도시 내 거주민 /명,/ Bewohner in der Stadt,Population : / nécessaire,/ abitanti in città,Şehir sakinleri: /,Felgyújtani készül a várost,Готуються спалити місто,Chuẩn bị thiêu hủy thành phố
map.last_female_in_faction,,У вас осталась последняя незамужняя женщина,You have the last unmarried woman left,You have the last unmarried woman left,Zbývá ti poslední neprovdaná žena,Você tem a última mulher solteira,Tienes la última mujer sin casar,Ostatnia kobieta jest niezamężna,你只剩下最后一位未婚女士,你只剩下最後一位未婚女性,残り一人の未婚女性がいる,미혼 여성이 하나 남았습니다.,Du hast die letzte unverheiratete Frau,La dernière femme célibataire est de votre maison,Ti resta un'ultima donna non sposata,Evlenmemiş tek bir kadın kaldı,Nálad van az utolsó hajadon nő,Залишилася остання незаміжня жінка,Bạn có người phụ nữ chưa kết hôn cuối cùng
map.defence_alliance_leaving_ai,,Конфликт с союзником,Conflict with an Ally,Conflict with an Ally,Konflikt se spojencem,Conflito com um aliado,Conflicto con un aliado,Konflikt z sojusznikiem,与盟友起冲突,與盟友發生衝突,同盟国との紛争,동맹과의 갈등,Konflikt mit einem Verbündeten,Conflit avec un monarque allié,Conflitto con un alleato,Bir müttefik ile çekişme,Konfliktus egy szövetségeseddel,Конфлікт із союзником,Xung đột với Đồng Minh
map.defence_alliance_leaving_player,,Конфликт с главой союза,Conflict with the Alliance Leader,Conflict with the Alliance Leader,Konflikt se vůdcem aliance,Conflito com o líder da aliança,Conflicto con el líder de la alianza,Konflikt z przywódcą sojuszu,与联盟领袖起冲突,與聯盟領袖發生衝突,同盟国のリーダーとの紛争,동맹 수장과의 갈등,Konflikt mit dem Allianzanführer,Conflit avec le personnage à la tête de l'alliance,Conflitto con il capo dell'alleanza,İttifak Lideri ile çekişme,Konfliktus a szövetség vezetőjével,Конфлікт із лідером союзу,Xung đột với Người đứng đầu Liên minh
product_change_price.temporary,,Временное повышение цены на <red>{price_factor}%</red>,Temporary price increase for <red>{price_factor}%</red>,Temporary price increase for <red>{price_factor}%</red>,Dočasné zvýšení cen o <red>{price_factor} %</red>,Aumento temporário de preço em <red>{price_factor}%</red>,Aumento temporal de los precios de <red>{price_factor} %</red>,Tymczasowe zwiększenie ceny: <red>{price_factor}%</red>,价格临时提高 <red>{price_factor}%</red>,價格暫時增加 <red>{price_factor}%</red>,一時的に価格が<red>{price_factor}%</red>上昇,일시적 가격 인상 <red>{price_factor}%</red>,Vorübergehende Preiserhöhung um <red>{price_factor} %</red>,Augmentation temporaire des prix de <red>{price_factor} %</red>,Aumento del prezzo temporaneo del <red>{price_factor}%</red>,<red>%{price_factor}</red> geçici fiyat artışı,Ideiglenes áremelkedés <red>{price_factor}%</red>,Тимчасове підвищення ціни на <red>{price_factor}%</red>,Tăng giá tạm thời cho <red>{price_factor}%</red>
