Key,Russian,English,Comments,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
notification.thugs_burglary,{name}: головорезы взламывают дом!,{name}: the cutthroats are breaking into the house!,Справа обычное,{name}: the cutthroats are breaking into the house!,{name}: hrdlořezové se vloupali do domu!,{name}: os facínoras estão invadindo a casa!,{name}: ¡los criminales han entrado en la casa!,{name}: zbóje włamują się do domu.,{name}：刺客正闯入住宅！,{name}的住宅遭刺客入侵！,{name}：殺し屋が家に押し入りました！,{name}: 흉악범들이 집에 침입하는 중입니다!,{name}: die Handlanger dringen ins Haus ein!,Des coupe-jarrets se sont introduits chez {name} !,{name}: i malviventi stanno irrompendo in casa!,{name}: Eşkıyalar evine giriyor!,{name}: a brigantik betörnek a házba!,{name}: до будинку вдираються головорізи!,{name}: những tên cướp đang xâm nhập vào ngôi nhà!
notification.character_is_pregnant,{name} забеременела от {father_name}.,{name} is pregnant with {father_name}'s child,Справа важное,{name} is pregnant with {father_name}'s child,"{name} je těhotná, otcem je {father_name}",{name} está grávida da criança de {father_name},{name} está embarazada de {father_name}.,{name} jest w ciąży. Ojcem jest {father_name}.,{name}怀有{father_name}的孩子,{name}懷了{father_name}的孩子,{name}は{father_name}の子供を妊娠しています,{name}이(가) {father_name}의 아이를 임신,{name} erwartet ein Kind von {father_name},{father_name} a mis {name} enceinte.,{name} porta in grembo la prole di {father_name},"{name}, babası {father_name} olan bir çocuğa hamile.",{name} terhes {father_name} gyermekével,"{name} вагітна, а батько – {father_name}",{name} đang mang thai con của {father_name}
notification.character_was_born,Родился ребенок: {name},A child is born: {name},Справа важное,A child is born: {name},Narodilo se dítě: {name},Uma criança nasceu: {name},Ha nacido un infante: {name}.,Rodzi się {name}.,一个孩子出生了：{name},新生命誕生：{name},子供が生まれました：{name},아이 탄생: {name},Ein Kind wurde geboren: {name},Un enfant nommé {name} est né.,C'è una nuova nascita: {name},Bir çocuk dünyaya geldi: {name},Gyermek született: {name},Народилася дитина: {name},Một đứa trẻ đã ra đời: {name}
notification.kid_grow,{name} становится взрослым.,{name} has come of age.,Справа важное,{name} has come of age.,{name} dosahuje dospělosti.,{name} atingiu a maioridade.,{name} ya es mayor de edad.,{name} dorasta.,{name}已成年。,{name}長大成人了,{name}は成人しました。,{name}이(가) 성년이 되었습니다.,{name} ist erwachsen geworden.,{name} est maintenant adulte.,{name} ha raggiunto la maggiore età,{name} reşit oldu.,{name} nagykorúvá vált.,{name} досягає повноліття.,{name} đã trưởng thành.
notification.new_desire,{name} обнаружил в себе сильное желание,{name} has discovered a strong desire within themselves,Рутина,{name} has discovered a strong desire within themselves,{name} v sobě objevuje silnou touhu,{name} descobriu um desejo forte em si,{name} ha descubierto un fuerte deseo en su interior.,{name} odkrywa w sobie silne pragnienie.,{name}发现自己内心有一种强烈的欲望,{name}發現了內心的強烈慾望,{name}は自分の中に強い欲望があることに気付きました,{name}이(가) 내면의 강력한 욕망을 발견했습니다.,{name} hat eine große Sehnsucht in sich entdeckt,{name} a découvert un puissant désir enfoui au fond de son cœur.,{name} ha scoperto un forte desiderio dentro di sé,"{name}, içinde çok güçlü bir arzu keşfetti.",{name} erős vágyat fedezett fel magában,{name} виявляє в собі сильне бажання,{name} đã phát hiện ra một ham muốn mạnh mẽ bên trong mình
notification.desire_strong,{name}: желание стало еще сильнее,{name}: the desire has become even stronger,Рутина,{name}: the desire has become even stronger,{name}: touha je ještě silnější,{name}: o desejo está ainda mais forte,{name}: el deseo se ha vuelto aún más fuerte.,{name}: pragnienie staje się silniejsze.,{name}：欲望变得更强烈,{name}的慾望日益加劇了,{name}：欲望はますます強くなっています,{name}: 욕망이 더더욱 강해졌습니다.,{name}: die Sehnsucht ist noch stärker geworden,Le désir ressenti par {name} est de plus en plus puissant.,{name}: il desiderio è cresciuto notevolmente,{name}: Arzusu daha da güçlendi.,{name}: a vágya egyre erősebb,{name}: бажання стає ще сильнішим,{name}: ham muốn đã trở nên mạnh mẽ hơn
notification.desire_complete,{name}: желание исполнено!,{name}: the desire has been fulfilled!,Рутина,{name}: the desire has been fulfilled!,{name}: touha byla naplněna!,{name}: o desejo foi realizado!,{name}: ¡el deseo se ha satisfecho!,{name}: pragnienie zostało zaspokojone!,{name}：欲望已得到满足！,{name}的慾望獲得滿足了！,{name}：欲望が満たされました！,{name}: 욕망이 충족되었습니다!,{name}: die Sehnsucht wurde erfüllt!,{name} se réjouit de voir son désir comblé !,{name}: il desiderio è stato soddisfatto!,{name}: Arzusu yerine getirildi!,{name}: a vágya beteljesült!,{name}: бажання здійснено!,{name}: ham muốn đã được thực hiện!
notification.king_greetings,{name} поприветствовал короля,{name} greeted the king,Рутина,{name} greeted the king,{name} zdraví krále,{name} cumprimentou o rei,{name} ha saludado al monarca.,{name} wita króla.,{name}向君王致意,{name}向君王致意,{name}は王に謁見しました,{name}이(가) 왕을 맞이했습니다.,{name} hat den König begrüßt,{name} a accueilli le monarque.,{name} ha reso omaggio al monarca,"{name}, hükümdarı selamladı.",{name} köszöntötte az uralkodót,{name} вітає монарха,{name} đã chào đón nhà vua
notification.lord_return,"Вернулся в провинцию: {name} ",{name} has returned to the province,Справа обычное,{name} has returned to the province,{name} se vrací do provincie,{name} retornou à província,{name} ha vuelto a la provincia.,{name} wraca do prowincji.,{name}已返回省邦,{name}回到領地了,{name}は王国へと戻ってきました,{name}이(가) 영지로 복귀했습니다.,{name} ist in die Provinz zurückgekehrt,{name} est de retour dans la province.,{name} ha fatto ritorno nella provincia,"{name}, vilayete geri döndü.",{name} visszatért a tartományba,{name} повертається до провінції,{name} đã trở lại tỉnh
notification.start_hate,{name_initiator} -> {name_target}: начал ненавидеть,{name_initiator} -> {name_target}: started hating,Рутина,{name_initiator} -> {name_target}: started hating,{name_initiator} -> {name_target}: začátek nenávisti,{name_initiator} -> {name_target}: começaram a se odiar,{name_initiator} -> {name_target}: ha empezado a odiar.,{name_initiator} -> {name_target}: zaczyna odczuwać nienawiść.,{name_initiator} -> {name_target}：开始产生仇恨,{name_initiator}對{name_target}心生厭惡了,{name_initiator} -> {name_target}：憎しみを覚え始めました,{name_initiator} -> {name_target}: 증오 시작,{name_initiator} -> {name_target}: Hass ausgebrochen,{name_initiator} déteste désormais {name_target}.,{name_initiator} ha iniziato a odiare {name_target},{name_initiator} -> {name_target}: Nefret etmeye başladı.,{name_initiator} -> {name_target}: meggyűlölte,{name_initiator} -> {name_target}: починає ненавидіти,{name_initiator} -> {name_target}: bắt đầu ghét
notification.captive_escape,{name} пытается бежать из плена!,{name} is trying to escape from captivity!,Критикал вверху + мигание портрета,{name} is trying to escape from captivity!,{name}: lupiči se snaží utéct ze zajetí!,{name} está tentando escapar do cativeiro!,{name}: ¡los bandidos intentan escapar del cautiverio!,{name}: próbuje uciec z niewoli.,{name}：强盗们正试图逃离囚禁！,{name}俘虜們企圖越獄脫逃！,{name}：山賊たちは囚われの身から逃れようとしています！,{name}: 도둑이 감금에서 탈출하려고 합니다!,"{name}: die Wegelagerer versuchen, der Gefangenschaft zu entkommen!",{name} tente de s'enfuir !,{name}: i banditi tentano di sfuggire alla prigionia!,"{name}, esaretten kaçmaya çalışıyor!",{name}: a brigantik próbálnak megszökni a fogságból!,{name}: розбійники намагаються втекти з полону!,{name} đang cố gắng trốn thoát khỏi sự giam cầm!
notification.captive_welcome,{name} поклялся в верности дому {fraction_name},{name} has pledged loyalty to the {fraction_name} house,Справа важное,{name} has pledged loyalty to the {fraction_name} house,{name} přísahá věrnost rodu {fraction_name},{name} jurou lealdade à casa {fraction_name},{name} ha jurado lealtad a la casa de {fraction_name}.,{name} przysięga wierność rodowi {fraction_name}.,{name}宣誓效忠{fraction_name}家族,{name}已宣誓效忠{fraction_name}王室,{name}は{fraction_name}一族に忠誠を誓いました,{name}이(가) {fraction_name} 가문에 대한 충성을 맹세했습니다.,{name} hat dem Haus {fraction_name} Loyalität geschworen,{name} a juré fidélité à la maison {fraction_name}.,{name} ha giurato lealtà alla casata di {fraction_name},"{name}, {fraction_name} sülalesine sadakat yemini etti.",{name} hűséget esküdött a(z) {fraction_name} háznak,{name} присягає на вірність угрупованню {fraction_name},{name} đã tuyên thệ trung thành với gia đình {fraction_name}
notification.game_save,Игра сохранена,The game has been saved,,The game has been saved,Hra byla uložena,O jogo foi salvo,La partida se ha guardado.,Zapisano grę,游戏已保存,遊戲已存檔,ゲームをセーブしました,게임 저장 완료,Das Spiel wurde gespeichert,Partie sauvegardée,Partita salvata,Oyun kaydedildi,A játék elmentve,Гру збережено,Trò chơi đã được lưu
notification.got_knowledge_from_talk,{name} во время разговора с {name_2} получил знание: {knowledge},{name} acquired knowledge during a conversation with {name_2}: {knowledge},,{name} acquired knowledge during a conversation with {name_2}: {knowledge},{name} získává znalosti během rozhovoru s osobou {name_2}: {knowledge},{name} ganhou conhecimento durante uma conversa com {name_2}: {knowledge},{name} ha obtenido conocimiento durante una conversación con {name_2}: {knowledge},{name} zdobywa wiedzę w wyniku rozmowy z {name_2}: {knowledge}.,{name}在与{name_2}的对话中获得了知识：{knowledge},{name}在與{name_2}的對談中學到了知識：{knowledge},{name}は{name_2}と会話する中で知識を身につけました： {knowledge},{name}이(가) {name_2}와(과) 대화 중에 {knowledge} 지식을 획득했습니다.,{name} hat bei einem Gespräch mit {name_2} Wissen erlangt: {knowledge},Une conversation avec {name_2} a permis à {name} d'obtenir le savoir {knowledge}.,{name} ha ottenuto della conoscenza di {knowledge} conversando con {name_2},"{name}, {name_2} ile konuşurken {knowledge} irfanını elde etti.",{name} a {name_2} karakterrel folytatott beszélgetés során ismeretre tett szert: {knowledge},{name} набуває знання ({knowledge}) під час розмови з: {name_2},{name} đã có được kiến thức trong cuộc trò chuyện với {name_2}: {knowledge}
punishment.blindness,Ослепление,Blindness,,Blindness,Slepota,Cegueira,Ceguera,Ślepota,失明,盲刑,失明,실명,Blenden,Énucléer,Accecamento,Körlük,Vakság,Сліпота,Mù lòa
punishment.execution,Казнь,Execution,,Execution,Poprava,Execução,Ejecución,Egzekucja,处决,處決,処刑,처형,Hinrichten,Exécuter,Esecuzione,İdam,Kivégzés,Страта,Hành hình
punishment.exile,Изгнание,Exile,,Exile,Vyhnanství,Exílio,Exilio,Wygnanie,流放,流放,追放,추방,Verbannung,Exiler,Esilio,Sürgün,Száműzés,Вигнати,Lưu đày
punishment.mask_of_shame,Маска позора,Mask of shame,,Mask of shame,Maska hanby,Máscara da vergonha,Máscara de la vergüenza,Maska hańby,耻辱面具,羞恥面具,羞恥の仮面,수치심의 가면,Schandmaske,Humilier,Maschera d'infamia,Utanç maskesi,Szégyenmaszk,Маска ганьби,Mặt nạ hổ thẹn
punishment.enslavement,Взятие в плен,Imprisonment,,Imprisonment,Uvěznění,Aprisionamento,Encarcelación,Więzienie,监禁,監禁,投獄,투옥,Kerker,Asservir,Reclusione,Hapis,Bebörtönzés,Ув'язнення,Giam cầm
resource.battle_axe,Топоры,Axes,,Axes,Sekery,Machados,Hachas,Topory,斧头,斧,斧,도끼,Äxte,Haches,Asce,Balta,Szekercék,Сокири,Rìu
resource.ale,Душистый Эль,Flavorful Ale,,Flavorful Ale,Lahodný ležák,Cerveja ale,Ale sabrosa,Aromatyczne piwo,美味麦酒,香醇麥酒,風味豊かなエール,풍미 있는 에일,Leckeres Ale,Ale aromatisée,Birra aromatica,Lezzetli Bira,Ízletes sörpárlat,Смаковитий ель,Rượu bia hương vị
resource.moonshine,Самогон,Moonshine,,Moonshine,Pálenka,Aguardente,Licor,Bimber,劣酒,劣酒,密造酒,밀주,Schnaps,Gnôle,Liquore,Kaçak İçki,Lőre,Самогон,Rượu mạnh
resource.beer,Пиво,Beer,,Beer,Pivo,Cerveja,Cerveza,Piwo,啤酒,啤酒,ビール,맥주,Bier,Bière,Birra,Bira,Sör,Пиво,Bia
resource.bow,Луки,Bows,,Bows,Luky,Arcos,Arcos,Łuki,弓,弓,弓,활,Bögen,Arcs,Archi,Yay,Íjak,Луки,Cung
resource.coal,Уголь,Coal,,Coal,Uhlí,Carvão,Carbón,Węgiel,煤,煤炭,石炭,석탄,Kohle,Charbon,Carbone,Kömür,Szén,Вугілля,Than
resource.crossbow,Арбалет,Crossbows,,Crossbows,Kuše,Bestas,Ballestas,Kusze,弩,弩,クロスボウ,석궁,Armbrüste,Arbalètes,Balestre,Arbalet,Számszeríjak,Арбалети,Nỏ
resource.food,Мука,Flour,,Flour,Mouka,Farinha,Harina,Mąka,面粉,麵粉,小麦粉,밀가루,Mehl,Farine,Farina,Un,Liszt,Борошно,Bột mì
resource.heavy_armor,Тяжелая броня,Heavy armor,,Heavy armor,Těžká zbroj,Armadura pesada,Armadura pesada,Ciężki pancerz,重甲,重盔甲,重装鎧,중갑,Schwere Rüstung,Armure lourde,Armatura pesante,Ağır Zırh,Nehéz páncél,Важкі обладунки,Giáp nặng
resource.instruments,Инструменты,Tools,,Tools,Nástroje,Ferramentas,Herramientas,Narzędzia,工具,工具,道具,도구,Werkzeuge,Outils,Attrezzi,Alet,Szerszámok,Інструменти,Dụng cụ
resource.iron,Железо,Iron,,Iron,Železo,Ferro,Hierro,Żelazo,铁,鐵,鉄,철,Eisen,Fer,Ferro,Demir,Vas,Залізо,Sắt
resource.knife,Кинжал,Dagger,,Dagger,Dýka,Punhal,Daga,Sztylet,匕首,匕首,短剣,단검,Dolch,Dague,Pugnale,Hançer,Tőr,Кинджал,Dao găm
resource.light_armor,Легкая броня,Light armor,,Light armor,Lehká zbroj,Armadura leve,Armadura ligera,Lekki pancerz,轻甲,輕盔甲,軽装鎧,경갑,Leichte Rüstung,Armure légère,Armatura leggera,Hafif Zırh,Könnyű páncél,Легкі обладунки,Giáp nhẹ
resource.medicine,Лечебная мазь,Medical salve,,Medical salve,Léčivá mast,Unguento medicinal,Ungüento,Maść lecznicza,医用药膏,治療藥膏,医療用軟膏,의료 연고,Heilsalbe,Onguent,Unguento medicinale,Merhem,Gyógykenőcs,Цілюща мазь,Thuốc mỡ y tế
resource.nectar,Нектар,Nectar,,Nectar,Nektar,Néctar,Néctar,Nektar,蜜酿,蜜露,ネクタル,넥타,Nektar,Nectar,Nettare,Nektar,Nektár,Нектар,Nectar
resource.paper,Бумага,Paper,,Paper,Papír,Papel,Papel,Papier,纸张,紙,コショウ,종이,Papier,Papier,Carta,Kâğıt,Papír,Папір,Giấy
resource.rune,Святые кольца,Holy rings,,Holy rings,Svaté prsteny,Anéis Sagrados,Anillos sagrados,Święte pierścienie,圣戒,聖戒,神聖なリング,신성 반지,Heilige Ringe,Anneau sacré,Anelli sacri,Kutsal Yüzük,Szent gyűrűk,Священні персні,Nhẫn Thánh
resource.shield,Щиты,Shields,,Shields,Štíty,Escudos,Escudos,Tarcze,护盾,盾,盾,방패,Schilde,Boucliers,Scudi,Kalkan,Pajzsok,Щити,Khiên
resource.sword,Мечи,Swords,,Swords,Meče,Espadas,Espadas,Miecze,剑,劍,剣,검,Schwerter,Épées,Spade,Kılıç,Kardok,Мечі,Gươm
resource.wood,Дерево,Wood,,Wood,Dřevo,Madeira,Madera,Drewno,木材,木材,木材,목재,Holz,Bois,Legno,Odun,Fa,Деревина,Gỗ
resource.wooden_hammer,Булава,Maces,,Maces,Palcáty,Maças,Mazas,Buławy,链锤,鎚,メイス,철퇴,Streitkolben,Masses d'armes,Mazze,Gürz,Buzogányok,Булави,Gậy
resource.wooden_spear,Копья,Spears,,Spears,Kopí,Lanças,Lanzas,Włócznie,矛,矛,槍,창,Speere,Lances,Lance,Mızrak,Lándzsák,Списи,Sào
resource.hop,Хмель,Hop,,Hop,Chmel,Lúpulo,Lúpulo,Chmiel,啤酒花,啤酒花,ホップ,홉,Hopfen,Houblon,Luppolo,Şerbetçi Otu,Komló,Хміль,Hoa bia
resource.rye,Рожь,Rye,,Rye,Žito,Centeio,Centeno,Żyto,麦子,麥子,ライ麦,호밀,Roggen,Seigle,Segale,Çavdar,Rozs,Жито,Lúa mạch đen
resource.steel,Сталь,Steel,,Steel,Ocel,Metal,Acero,Stal,钢,鋼,鋼鉄,강철,Stahl,Acier,Acciaio,Çelik,Acél,Сталь,Thép
resource.meat,Мясо,Meat,,Meat,Maso,Carne,Carne,Mięso,肉,肉,肉,고기,Fleisch,Viande,Carne,Et,Hús,М'ясо,Thịt
resource.sweden,Брюква,Rutabaga,,Rutabaga,Tuřín,Couve-nabo,Colinabo,Brukiew,芜菁,洋蕪菁,ルタバガ,루타바가,Steckrüben,Rutabaga,Rape,Şalgam,Karórépa,Бруква,Rutabaga
resource.herb,Лесная трава,Herb,,Herb,Bylinka,Erva,Hierbas,Zioła,草药,藥草,ハーブ,약초,Kräuter,Fleur séchée,Erba,Ot,Gyógyfű,Трави,Thuốc thảo
resource.producted_store,На <hint=hint_building_stores>складах</hint> производственных зданий сейчас: {count} (серое число рядом с иконкой),"In the production <hint=hint_building_stores>warehouses</hint>, there are currently: {count} (grey number next to the icon)",,"In the production <hint=hint_building_stores>warehouses</hint>, there are currently: {count} (grey number next to the icon)",Ve výrobních <hint=hint_building_stores>skladech</hint> je momentálně: {count}.,Itens nos <hint=hint_building_stores>Depósitos</hint> de produção: {count} (número cinza ao lado do ícone),"En los <hint=hint_building_stores>almacenes</hint> de producción, hay ahora mismo: {count}",W <hint=hint_building_stores>składach</hint> zakładów produkcyjnych znajduje się obecnie: {count}.,在生产<hint=hint_building_stores>仓库</hint>中，目前有：{count},當前在生產<hint=hint_building_stores>倉庫</hint>中有：{count},生産物<hint=hint_building_stores>倉庫</hint>の現在の備蓄量： {count},생산 <hint=hint_building_stores>창고</hint> 현재 보유량: {count},In den Produktions-<hint=hint_building_stores>Lagerhäusern</hint> befinden sich aktuell: {count},{count} unité(s) présente(s) dans les <hint=hint_building_stores>dépôts</hint> de production.,Unità presenti nei <hint=hint_building_stores>magazzini</hint> di produzione: {count},Üretim <hint=hint_building_stores>ardiyelerinde</hint> mevcut olanlar: {count},A termelési <hint=hint_building_stores>raktárakban</hint> jelenleg található: {count},На виробничих <hint=hint_building_stores>складах</hint>: {count},Tại các <hint=hint_building_stores>kho</hint> sản xuất hiện có: {count} (số màu xám bên cạnh biểu tượng)
resource.on_fields_now,Зреет на полях сейчас: {count} (серое число рядом с иконкой),Ripening in the fields now: {count} (grey number next to the icon),,Ripening in the fields now: {count} (grey number next to the icon),Na polích právě zraje: {count},Itens amadurecendo nos campos: {count} (número cinza ao lado do ícone),Madurando en los campos: {count},Na polach rośnie obecnie: {count}.,田地成熟作物数量：{count},在農田中生長成熟：{count},畑の収穫可能量： {count},밭에서 무르익고 있음: {count},Derzeit reifen auf dem Feld: {count},{count} unité(s) en culture dans les champs.,In maturazione nei campi: {count},Tarlada yetişenler: {count},A földeken most érik be: {count},Дозріває на полях: {count},Đang chín trên cánh đồng hiện tại: {count} (số màu xám bên cạnh biểu tượng)
resource.caravan_cost,Этот ресурс Святой Караван продает за <hint=hint_resource_gold>{cost_buy}</hint> и покупает за и <hint=hint_resource_gold>{cost_sell}</hint>.,The Holy Caravan sells this resource for <hint=hint_resource_gold>{cost_buy}</hint> and buys it for <hint=hint_resource_gold>{cost_sell}</hint>.,,The Holy Caravan sells this resource for <hint=hint_resource_gold>{cost_buy}</hint> and buys it for <hint=hint_resource_gold>{cost_sell}</hint>.,Svatá karavana prodává tuto surovinu za <hint=hint_resource_gold>{cost_buy}</hint> a vykupuje ji za <hint=hint_resource_gold>{cost_sell}</hint>.,A Caravana Sagrada vende este recurso por <hint=hint_resource_gold>{cost_buy}</hint> e compra-o por <hint=hint_resource_gold>{cost_sell}</hint>.,La Caravana Sagrada vende este recurso por <hint=hint_resource_gold>{cost_buy}</hint> y lo compra por <hint=hint_resource_gold>{cost_sell}</hint>.,Święta Karawana sprzedaje ten towar za <hint=hint_resource_gold>{cost_buy}</hint> i kupuje go za <hint=hint_resource_gold>{cost_sell}</hint>.,圣商队以<hint=hint_resource_gold>{cost_buy}</hint>的价格出售此资源，并以<hint=hint_resource_gold>{cost_sell}</hint>的价格收购。,聖商隊以 <hint=hint_resource_gold>{cost_buy}</hint> 販售，以 <hint=hint_resource_gold>{cost_sell}</hint> 收購此資源。,神聖なキャラバンはこの資源を<hint=hint_resource_gold>{cost_buy}</hint>で販売し、<hint=hint_resource_gold>{cost_sell}</hint>で買い取ります。,신성한 대상단이 해당 자원을 <hint=hint_resource_gold>{cost_buy}</hint>에 구매하고 <hint=hint_resource_gold>{cost_sell}</hint>에 판매합니다.,Die Heilige Karawane verkauft diese Ressource für <hint=hint_resource_gold>{cost_buy}</hint> und kauft sie für <hint=hint_resource_gold>{cost_sell}</hint>.,La Caravane sacrée vend cette ressource pour <hint=hint_resource_gold>{cost_buy}</hint> et l'achète contre <hint=hint_resource_gold>{cost_sell}</hint>.,La Carovana sacra vende questa risorsa a <hint=hint_resource_gold>{cost_buy}</hint> e la compra a <hint=hint_resource_gold>{cost_sell}</hint>.,Kutsal Kervan bu kaynağı <hint=hint_resource_gold>{cost_buy}</hint> altına satıyor ve <hint=hint_resource_gold>{cost_sell}</hint> altına satın alıyor.,A Szent Karaván ezt a nyersanyagot <hint=hint_resource_gold>{cost_buy}</hint> áron árulja és <hint=hint_resource_gold>{cost_sell}</hint> áron vásárolja fel.,Священний караван продає цей ресурс за <hint=hint_resource_gold>{cost_buy}</hint> і купує його за <hint=hint_resource_gold>{cost_sell}</hint>.,Caravan Thánh bán tài nguyên này với giá <hint=hint_resource_gold>{cost_buy}</hint> và mua với giá <hint=hint_resource_gold>{cost_sell}</hint>.
screen_ui.day,День {day},Day {day},,Day {day},Den {day},Dia {day},Día {day},Dzień {day},第 {day} 天,第 {day} 天,{day}日目,{day}일 차,Tag {day},Jour {day},Giorno {day},{day}. Gün,{day}. nap,День {day},Ngày {day}
statistics.for_5_days,За 5 дней,For 5 days,,For 5 days,Za 5 dnů,Para 5 dias,Durante 5 días,Z 5 dni,持续 5 天,5 日間,5日間分,5일간,Für 5 Tage,Sur 5 jours,5 giorni,5 günlük,5 napig,За 5 днів,Trong 5 ngày
statistics.for_today,За сегодня,For today,,For today,Za dnešek,Para hoje,Hoy,Z dzisiaj,今日,今日,本日分,오늘,Für heute,Aujourd'hui,Oggi,Bugün,Mai nap,За сьогодні,Trong hôm nay
statistics.for_yesterday,За вчера,For yesterday,,For yesterday,Za včerejšek,Para ontem,Ayer,Z wczoraj,昨日,昨日,昨日分,어제,Für gestern,Hier,Ieri,Dün,Tegnap,За вчора,Trong hôm qua
time.hours,{hours} ч.,{hours} h.,,{hours} h.,{hours} hod.,{hours} h.,{hours} h,{hours} h,{hours} 小时,{hours} 小時,{hours}時間,{hours}시간,{hours} h,{hours} h,{hours} h,{hours} sa.,{hours} ó.,{hours} год.,{hours} h.
time.minutes,{minutes} мин.,{minutes} min.,,{minutes} min.,{minutes} min.,{minutes} min.,{minutes} min,{minutes} min.,{minutes} 分,{minutes} 分,{minutes}分,{minutes}분,{minutes} min.,{minutes} min,{minutes} min,{minutes} dk.,{minutes} perc,{minutes} хв.,{minutes} phút.
work.melter,Плавильщик,Smelter,,Smelter,Slévač,Fundidor,Fundidor,Hutnik,熔炉工,鍛鑄匠,製錬職人,용광로,Schmelzer,Métallurgiste,Fonditore,Kalcı,Olvasztár,Плавильник,Lò luyện
work.alchemist,Алхимик,Alchemist,,Alchemist,Alchymista,Alquimista,Alquimista,Alchemik,炼金术士,煉金術士,錬金術師,연금술사,Alchemist,Alchimiste,Alchimista,Simyacı,Alkimista,Алхімік,Nhà giả kim
work.miller,Мельник,Miller,,Miller,Mlynář,Moleiro,Molinero,Młynarz,磨坊主,磨坊工,製粉職人,제분사,Müller,Meunier·ère,Mugnaio,Değirmenci,Molnár,Мельник,Nhà xay
work.pig_farmer,Свинопас,Swineherd,,Swineherd,Pasáček,Porqueiro,Porquero,Hodowca świń,养猪人,豬農,養豚家,돼지치기,Schweinehirt,Porcher·ère,Porcaio,Domuz çobanı,Kondás,Свинар,Người chăn heo
work.armorsmith,Бронник,Armor Forge,,Armor Forge,Zbrojíř,Forja de armaduras,Forja de armaduras,Płatnerz,防具锻造厂,防具匠,鎧鍛治,방어구 대장간,Rüstungsschmied,Armurier·ère,Fabbro di armature,Zırh Ocağı,Páncélműhely,Кузня обладунків,Lò rèn giáp
work.barman,Трактирщик,Innkeeper,,Innkeeper,Krčmář,Estalajadeiro,Tabernero,Karczmarz,酒馆老板,酒館老闆,宿屋の主人,여관 주인,Wirt,Aubergiste,Locandiere,Hancı,Fogadós,Шинкар,Chủ quán
work.drug_dealer,Барыга,Drug dealer,,Drug dealer,Prodejce drog,Traficante,Traficante de drogas,Handlarz narkotyków,毒贩,藥頭,薬売り,약장수,Drogenhändler,Dealer de nectar,Spacciatore,Torbacı,Drogkereskedő,Наркоторговець,Người bán thuốc
work.brewer,Пивовар,Brewer,,Brewer,Sládek,Cervejeiro,Cervecero,Gorzelnik,酿酒师,釀酒人,醸造家,양조업자,Brauer,Brasseur·euse,Birraio,Biracı,Sörfőző,Бровар,Người ủ bia
work.builder,Строитель,Builder,,Builder,Stavitel,Construtor,Constructor,Budowniczy,建造者,建築工人,建設業者,건설자,Bauarbeiter,Bâtisseur·euse,Costruttore,İnşaatçı,Építő,Будівельник,Thợ xây
work.caravaneer,Караванщик,Caravaneer,,Caravaneer,Karavanář,Caravaneiro,Caravanero,Członek karawany,商队成员,商隊旅人,キャラバン隊,상단 상인,Karawanier,Caravanier·ère,Carovaniere,Kervancı,Karavánvezető,Караванник,Người quản lý đoàn xe
work.carpenter,Плотник,Carpenter,,Carpenter,Tesař,Carpinteiro,Carpintero,Stolarz,木匠,木匠,大工,목수,Schreiner,Charpentier·ère,Falegname,Marangoz,Ács,Тесляр,Thợ mộc
work.coal_furnace,Углежог,Charcoal burner,,Charcoal burner,Milíř,Carvoeiro,Carbonero,Węglarz,烧炭工,製炭匠,炭焼き職人,숯꾼,Köhler,Charbonnier·ère,Carbonaio,Kömürcü,Szénégető,Вугляр,Người đốt than
work.farmer,Фермер,Farmer,,Farmer,Farmář,Agricultor,Granjero,Rolnik,农夫,農夫,農家,농부,Landwirt,Fermier·ère,Agricoltore,Çiftçi,Gazda,Фермер,Nông dân
work.herbalist,Травник,Herbalist,,Herbalist,Bylinkář,Ervanária,Herbolario,Zielarz,草药师,採藥人,薬草採集者,약초 채집가,Kräuterkundler,Herboriste,Erborista,Otacı,Javasember,Травник,Người làm thuốc thảo
work.inspector,Инспектор,Inspector,,Inspector,Inspektor,Inspetor,Inspector,Inspektor,检查员,視察員,検査官,점검관,Inspektor,Inspecteur·rice,Ispettore,Müfettiş,Felügyelő,Інспектор,Thanh tra
work.jobless,Безработный,Jobless,,Jobless,Bez práce,Desempregado,Desempleado,Bezrobotny,失业者,無業,無職,무직,Arbeitslos,Sans-emploi,Disoccupato,İşsiz,Munkanélküli,Безробітний,Người thất nghiệp
work.miner,Шахтер,Miner,,Miner,Horník,Mineiro,Minero,Górnik,矿工,礦工,坑夫,광부,Bergarbeiter,Mineur·euse,Minatore,Madenci,Bányász,Шахтар,Thợ mỏ
work.paper_factory,Изготовитель бумаги,Paper Maker,,Paper Maker,Papírník,Fabricante de papel,Fabricante de papel,Papiernik,造纸工,造紙匠,製紙職人,제지업자,Papiermacher,Papetier·ère,Cartaio,Kâğıt İşçisi,Papírkészítő,Папірник,Người làm giấy
work.patrol,Патрульный,Patrol,,Patrol,Hlídka,Patrulheiro,Patrulla,Patrol,巡逻队,巡邏員,巡回,순찰대,Patrouille,Patrouille,Pattugliatore,Devriye,Járőr,Патрульний,Tuần tra
